ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,enq_conv,buy_conv,tot_conv,enqconval,buyconval,total_conval,ROAS
708746,916,103916,20-29,1,15,7350,1,1.429999948,2,1,3,10,100,110,76.92307972
708749,916,103917,20-29,1,16,17861,2,1.820000023,2,0,2,10,0,10,5.494505425
708815,916,103928,20-29,1,28,4259,1,1.25,1,0,1,5,0,5,4
708818,916,103928,20-29,1,28,4133,1,1.289999962,1,1,2,5,100,105,81.39535123
708889,916,103940,20-29,1,15,15615,3,4.769999981,1,0,1,5,0,5,1.048218034
708895,916,103941,20-29,1,16,10951,1,1.269999981,1,1,2,5,100,105,82.67716659
708953,916,103951,20-29,1,27,2355,1,1.5,1,0,1,5,0,5,3.333333333
708958,916,103952,20-29,1,28,9502,3,3.159999967,1,0,1,5,0,5,1.582278498
709059,916,103968,20-29,1,20,14669,7,10.28000021,1,1,2,5,100,105,10.21400757
709115,916,103978,20-29,1,30,2305,1,0.569999993,1,0,1,5,0,5,8.771929932
709179,916,103988,30-39,1,15,4627,1,1.690000057,1,0,1,5,0,5,2.958579782
709183,916,103989,30-39,1,16,21026,4,4.630000114,2,1,3,10,100,110,23.75809877
709323,916,104012,30-39,1,15,7132,2,2.609999895,1,0,1,5,0,5,1.915708889
709326,916,104013,30-39,1,16,12190,2,3.049999952,1,0,1,5,0,5,1.639344288
709327,916,104013,30-39,1,16,12193,2,3.059999943,1,1,2,5,100,105,34.31372613
709544,916,104049,30-39,1,29,7440,2,2.980000019,1,1,2,5,100,105,35.2348991
709614,916,104061,40-49,1,16,19113,4,5.5200001,1,0,1,5,0,5,0.905797085
709756,916,104085,40-49,1,16,10976,2,1.690000057,1,1,2,5,100,105,62.13017542
709901,916,104109,40-49,1,16,23817,7,8.470000148,1,1,2,5,100,105,12.396694
710045,916,104133,50-59,1,16,47224,12,15.82000017,1,0,1,5,0,5,0.316055622
710088,916,104140,50-59,1,24,2283,1,1.470000029,1,0,1,5,0,5,3.401360477
710360,916,104185,50-59,1,21,2182,1,1.529999971,1,1,2,5,100,105,68.62745228
710480,916,104205,20-29,2,16,57665,14,18.06999969,1,1,2,5,100,105,5.810736126
710571,916,104220,20-29,2,32,3091,1,1.610000014,1,1,2,5,100,105,65.21739074
710617,916,104228,20-29,2,15,5014,1,1.190000057,1,0,1,5,0,5,4.201680471
710623,916,104229,20-29,2,16,38726,7,9.220000267,1,0,1,5,0,5,0.542299334
710763,916,104252,20-29,2,15,5369,1,1.50999999,1,0,1,5,0,5,3.3112583
710836,916,104265,20-29,2,29,22221,7,9.430000067,1,1,2,5,100,105,11.13467649
710880,916,104272,20-29,2,65,13019,5,6.960000038,1,0,1,5,0,5,0.718390801
710961,916,104285,30-39,2,25,2508,1,1.220000029,1,0,1,5,0,5,4.098360558
710968,916,104287,30-39,2,27,5864,2,2.799999952,1,1,2,5,100,105,37.50000064
711217,916,104328,30-39,2,20,2783,1,1.600000024,1,0,1,5,0,5,3.124999953
711623,916,104396,40-49,2,15,3812,1,1.129999995,2,1,3,10,100,110,97.34513317
711764,916,104419,50-59,2,10,11199,4,5.730000019,1,1,2,5,100,105,18.32460727
711877,916,104438,50-59,2,63,17572,7,9.379999995,1,0,1,5,0,5,0.533049041
734210,936,108654,20-29,1,10,13329,4,5.629999995,1,1,2,5,100,105,18.65008883
734215,936,108655,20-29,1,15,13659,3,3.840000033,1,0,1,5,0,5,1.302083322
734290,936,108668,20-29,1,29,5374,1,1.039999962,4,0,4,20,0,20,19.23076993
734352,936,108678,30-39,1,10,4423,1,1.460000038,1,1,2,5,100,105,71.91780635
734361,936,108680,30-39,1,16,12382,2,2.839999914,1,1,2,5,100,105,36.97183211
734381,936,108683,30-39,1,20,2938,1,1.350000024,1,1,2,5,100,105,77.7777764
734421,936,108690,30-39,1,27,10332,4,5.75,1,0,1,5,0,5,0.869565217
734427,936,108691,30-39,1,28,8259,3,3.980000019,1,0,1,5,0,5,1.256281401
734433,936,108692,30-39,1,29,12158,3,4.449999928,1,0,1,5,0,5,1.123595524
734582,936,108716,40-49,1,29,7709,2,1.320000052,2,0,2,10,0,10,7.575757277
734726,936,108740,50-59,1,29,10466,3,4.090000033,1,0,1,5,0,5,1.222493878
734785,936,108750,20-29,2,10,5576,1,1.529999971,1,1,2,5,100,105,68.62745228
734796,936,108752,20-29,2,16,39337,7,10.03000009,1,1,2,5,100,105,10.46859412
734852,936,108761,20-29,2,26,13479,3,4.25,1,0,1,5,0,5,1.176470588
734854,936,108762,20-29,2,27,57022,13,20.29000032,3,3,6,15,300,315,15.52488886
734856,936,108762,20-29,2,27,5453,1,1.389999986,1,1,2,5,100,105,75.53956911
734866,936,108764,20-29,2,29,11803,3,4.440000057,1,0,1,5,0,5,1.126126112
734881,936,108766,20-29,2,31,4259,1,1.570000052,1,1,2,5,100,105,66.87897868
734903,936,108770,20-29,2,64,5323,1,1.289999962,1,1,2,5,100,105,81.39535123
734925,936,108774,30-39,2,10,5024,1,1.409999967,1,1,2,5,100,105,74.46808685
